partai,partai_lengkap,warna,image_url
PDI-P,PDI Perjuangan,#d61922,https://upload.wikimedia.org/wikipedia/id/c/cd/Logo_PDI-P.svg
Golkar,Golongan Karya,#ffff00,https://upload.wikimedia.org/wikipedia/commons/8/86/Logo_Golkar.svg
PPP,Partai Persatuan Pembangunan,#096309,https://upload.wikimedia.org/wikipedia/id/7/73/Logo_PPP.svg
PKB,Partai Kebangkitan Bangsa,#00764b,https://2.bp.blogspot.com/-zo6KAbLT6Ps/VcBsTo6Jq-I/AAAAAAAAAkA/pc8VrY9Mhfs/s1600/Logo%2BPKB.jpg
PAN,Partai Amanat Nasional,#000081,https://upload.wikimedia.org/wikipedia/id/2/2f/Logo_PAN.svg
PBB,Partai Bulan Bintang,#00623d,https://upload.wikimedia.org/wikipedia/id/0/0c/Bulan_Bintang.jpg
PKS,Partai Keadilan Sejahtera,#ff4f00,https://upload.wikimedia.org/wikipedia/commons/2/2b/PKS_logo_2020.png
PDKB,Partai Damai Kasih Bahagia,#333e5d,https://upload.wikimedia.org/wikipedia/id/f/fb/Logo_Partai_Demokrasi_Kasih_Bangsa%2C_surat_suara_pemilu_1999.png
PPNU,Partai Persatuan Nahdlatul Ummah Indonesia,#3d972b,https://upload.wikimedia.org/wikipedia/id/a/ae/PNUI.gif
PDI,Partai Demokrasi Indonesia,#ff0000,https://upload.wikimedia.org/wikipedia/id/b/b5/Logo_of_Indonesian_Democratic_Party.svg
Gerindra,Gerakan Indonesia Raya,#fccf00,https://upload.wikimedia.org/wikipedia/id/1/18/Logo_Gerindra.svg
Hanura,Hati Nurani Rakyat,#ec3237,https://upload.wikimedia.org/wikipedia/id/2/24/Logo_Hanura.svg
NasDem,Nasional Demokrat,#242464,https://upload.wikimedia.org/wikipedia/commons/e/e3/Partai_NasDem.svg
PDS,Partai Damai Sejahtera,#7b007d,https://upload.wikimedia.org/wikipedia/id/f/fd/Logo_Partai_Damai_Sejahtera.svg
Demokrat,Demokrat,#004c9a,https://upload.wikimedia.org/wikipedia/commons/b/b1/Logo_of_the_Democratic_Party_%28Indonesia%29.svg
PBR,Partai Bintang Demokrasi,#bcd900,https://upload.wikimedia.org/wikipedia/id/e/e4/Logo_of_the_Reform_Star_Party.svg