"","artist","genres","image","popularity","followers","language"
"1","Tulus","['indonesian jazz', 'indonesian pop', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5ebb2dac5833519e3b4e5f7efdb",75,11940049,"id"
"2","Mahalini","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebb8333468abeb2e461d1ab5ea",75,6383773,"id"
"3","Sheila On 7","['indonesian alternative rock', 'indonesian pop']","https://i.scdn.co/image/ab67616d0000b27354270208627aa8061a8abe21",69,6380866,"id"
"4","Virgoun","['indonesian pop', 'malaysian pop']","https://i.scdn.co/image/ab6761610000e5eba99ec2b3bd22a84739aac218",70,6021273,"id"
"5","Rizky Febian","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb754d92e5430939afc3db0fac",63,5910519,"id"
"6","Andmesh","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb98f1f7ffcfe105d15bd819af",66,5795768,"id"
"7","Fiersa Besari","['bandung indie', 'indonesian folk pop', 'indonesian indie', 'indonesian pop', 'indonesian pop punk']","https://i.scdn.co/image/ab6761610000e5ebaf659f61f9c27fb44fcd153f",68,5288966,"id"
"8","Judika","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebecd8c2c8a1c1b638e74d0894",61,5031791,"id"
"9","Rossa","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb4d1d09a2913b21c37c0ece06",63,4816767,"id"
"10","Pamungkas","['indonesian pop', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5eb530956230031f5fe079f73cb",70,4720878,"id"
"11","Last Child","['indonesian pop punk', 'indonesian rock']","https://i.scdn.co/image/ab6761610000e5eb4ffc34bf9985731438cc1b99",69,4221712,"id"
"12","Tiara Andini","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebd3849cb8ebee1304faf20241",74,3697436,"id"
"13","Raisa","['indonesian pop', 'indonesian r&b', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5eb6c354a6d75cabef8ab59b8aa",62,3671359,"id"
"14","Dewa 19","['classic indonesian rock', 'indonesian rock']","https://i.scdn.co/image/ab6761610000e5eb96bfa9ff288138f3432e0fa4",68,3614121,"id"
"15","Payung Teduh","['indonesian folk', 'indonesian indie', 'indonesian pop', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5ebfc58f42abb126bbe177239cf",65,3390234,"id"
"16","Noah","['indonesian alternative rock']","https://i.scdn.co/image/ab6761610000e5eba8b9d7396c353b8d651d8641",62,3161724,"id"
"17","Lyodra","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebff5fc12455c7d8bff69fc53e",69,3060976,"id"
"18","Bunga Citra Lestari","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb830d0e856b72be52d994f588",61,3056069,"id"
"19","Fourtwnty","['indonesian folk', 'indonesian indie']","https://i.scdn.co/image/ab6761610000e5ebd56a4e114e63de49e1458707",62,2830641,"id"
"20","Denny Caknan","['dangdut', 'javanese dangdut', 'lagu jawa']","https://i.scdn.co/image/ab6761610000e5eb47d206465b8e31e2f49e3ba0",66,2791571,"id"
"21","Glenn Fredly","['indonesian jazz', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebf6284a310a10b07852e358cd",63,2781900,"id"
"22","Armada","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eba91a44cc797cd297d7c5aba2",62,2776218,"id"
"23","Peterpan","['dangdut koplo']","https://i.scdn.co/image/ab6761610000e5eb19fd0c20ed2bed2ea04754cf",62,2702811,"id"
"24","Keisya Levronka","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb564e80739956f888f879a5cb",65,2517915,"id"
"25","Feby Putri","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebab57b1cb1016bbd9cb26e4bf",69,2486265,"id"
"26","Ungu","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eba2a9813d741a6bdb31bbf79c",60,2330606,"id"
"27","Via Vallen","['dangdut', 'dangdut koplo', 'javanese dangdut', 'lagu jawa']","https://i.scdn.co/image/ab6761610000e5eba40473c927de6188b274935b",48,2305367,"id"
"28","Hindia","[]","https://i.scdn.co/image/ab6761610000e5eb324cea967a456ee680bf6b92",68,2002702,"id"
"29","Yura Yunita","['indonesian jazz', 'indonesian pop', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5ebc6b4cc16a247c71c2bfc475f",67,1985994,"id"
"30","Afgan","['indonesian pop', 'malaysian pop']","https://i.scdn.co/image/ab6761610000e5eb4f59eba8459e76b5da830597",67,1954021,"id"
"31","Slank","['classic indonesian rock', 'indonesian alternative rock', 'indonesian blues', 'indonesian reggae', 'indonesian rock']","https://i.scdn.co/image/ab6761610000e5eba5d15944aab9b403980519e4",56,1945601,"id"
"32","Chrisye","['indonesian city pop', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebde4b65749982d5d0cd10d5e7",58,1881838,"id"
"33","Padi","['classic indonesian rock']","https://i.scdn.co/image/ab6761610000e5ebafb89fa9e33991f0ed8ce59f",58,1815305,"id"
"34","Hivi!","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb1322b0732dd62a483196d035",63,1671203,"id"
"35","Budi Doremi","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebc6abbb6d49403b516404f450",66,1639973,"id"
"36","Ada Band","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eb52172a6b7cab765489f9963f",59,1612146,"id"
"37","Isyana Sarasvati","['indonesian pop', 'indonesian r&b']","https://i.scdn.co/image/ab6761610000e5eb87dc30e540254e0976c4b478",54,1610449,"id"
"38","Nadin Amizah","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebda1079e4c8ddc52843abec12",67,1541429,"id"
"39","Guyon Waton","['dangdut', 'javanese dangdut', 'lagu jawa']","https://i.scdn.co/image/ab6761610000e5ebc256ffff6f20f8de8e8f1fd6",67,1509759,"id"
"40","Ari Lasso","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb4e1ed336c3ff93a95fa44e14",58,1477025,"id"
"41","Kotak","['classic indonesian rock', 'indonesian pop', 'indonesian rock']","https://i.scdn.co/image/ab6761610000e5ebc85b187ca066c2f60f37e47a",50,1475590,"id"
"42","Hanin Dhiya","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb5d79d394e189b6aec363ee6f",52,1440834,"id"
"43","Dewa","['classic indonesian rock', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb8c647da81b4d73ec0c2bb738",62,1439061,"id"
"44","Maudy Ayunda","['indonesian hip hop', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebfd44a0ed071317d27edf6ad3",59,1380747,"id"
"45","Andra & The Backbone","['classic indonesian rock', 'indonesian rock']","https://i.scdn.co/image/ab67616d0000b2738a25f55567169ee8dbc97fcc",63,1373488,"id"
"46","Ziva Magnolya","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb7e02da73852aff7b75f0a1b7",67,1357321,"id"
"47","Mahen","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebcea95a5ffcf422b6faad237e",55,1319949,"id"
"48","Yovie & Nuno","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eba6f4e599c565123adb28418a",62,1276025,"id"
"49","Anneth","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebe39d70fffc59dd2a48fca0d5",48,1257559,"id"
"50","Melly Goeslaw","['indonesian idol pop', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebb3ad556044e96a40dc1cfb4c",57,1252129,"id"
"51","Kerispatih","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eb9ea96787240ddf564d6882c7",59,1193028,"id"
"52","D’MASIV","['indonesian pop', 'malaysian pop']","https://i.scdn.co/image/ab6761610000e5ebf91841f1330da697dd8af626",59,1114956,"id"
"53","Nidji","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eb742227e426d0ea5c9d0fd0d2",58,1096881,"id"
"54","Brisia Jodie","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb32ad1cea4cfaffe7982af92e",54,1090847,"id"
"55","SAMSONS","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eb27f5ae4456485dd45cb267da",56,1089982,"id"
"56","Ardhito Pramono","['indonesian jazz', 'indonesian pop', 'jazz pop']","https://i.scdn.co/image/ab6761610000e5ebd7649c8b7fc775137d4cb3d8",60,1016186,"id"
"57","Anji","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebbfa348bd053b01f28dd78736",48,1007915,"id"
"58","NaFF","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eb4c12d6ac79cdaaf0d373ed0a",55,995433,"id"
"59","Kahitna","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebe8b3eb71335b453ac794067e",55,986252,"id"
"60","RAN","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb2ed4c99ed7bc4e88ba88ba9b",55,930906,"id"
"61","Kunto Aji","['indonesian jazz', 'indonesian pop', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5eb91353fe387f993bb99a9d7ec",55,909534,"id"
"62","Jaz","['bruneian pop', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb3169c72ce5e31dbc3743ade7",55,909496,"id"
"63","Sammy Simorangkir","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb016288add2edec88ecd87e83",54,890310,"id"
"64","Letto","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eba72d9867fae5d76011bb2204",56,863606,"id"
"65","Virzha","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb682ff15adc86a5950c2ba597",54,846421,"id"
"66","Vierra","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebce05aec92bc5b3e81205ff73",65,836442,"id"
"67","Tompi","['indonesian jazz', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb5e06bda4c6919a807ad573c7",48,809041,"id"
"68","Efek Rumah Kaca","['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock']","https://i.scdn.co/image/ab6761610000e5ebb345ac625dd036d8a8d085cd",49,773934,"id"
"69","MALIQ & D'Essentials","['indonesian jazz', 'indonesian pop', 'indonesian reggae']","https://i.scdn.co/image/ab6761610000e5eb6f5044aae066797f015c74f3",61,769894,"id"
"70","Fabio Asher","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebd7384b119d6cdaee014015ae",64,768575,"id"
"71","Banda Neira","['indonesian folk pop', 'indonesian indie']","https://i.scdn.co/image/ab6761610000e5ebbb42545989858b73b3dc69c7",57,759960,"id"
"72","Jogja Hip Hop Foundation","['indonesian hip hop', 'lagu jawa']","https://i.scdn.co/image/ab67616d0000b273de748fd3eed32d64ee85fce8",60,757617,"id"
"73","Cakra Khan","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebe6e38acef666a8acaa2165a4",57,756273,"id"
"74","Idgitaf","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebb28ef2965ae0272d024fdbe2",58,755149,"id"
"75","Naif","['indonesian indie', 'indonesian pop']","https://i.scdn.co/image/ab67616d0000b273e4d084a54bcdd3e2feb80b68",60,722258,"id"
"76","Marion Jola","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebbfcee3fba303a029ed5b9658",53,720963,"id"
"77","Mawar de Jongh","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eba6c04dd76f1f152bd6bde1df",50,704480,"id"
"78","Seventeen","['indonesian pop rock']","https://i.scdn.co/image/ab67616d0000b273687ee7cccc410bb76f8bad42",57,686961,"id"
"79","Gigi","['classic indonesian rock', 'indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab67616d0000b273d1c95d09e5ee928c59c7de5a",51,686322,"id"
"80","Vidi Aldiano","['indonesian pop', 'indonesian r&b']","https://i.scdn.co/image/ab6761610000e5eb7e4f98722892480de3877712",48,662593,"id"
"81","Woro Widowati","['dangdut koplo', 'javanese dangdut', 'lagu jawa']","https://i.scdn.co/image/ab6761610000e5eb3c9d6e34bdfcd6e53f87cee6",56,649807,"id"
"82","Devano","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb7183497b4e0bf26a66bad1bd",42,646396,"id"
"83","Arsy Widianto","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb44001c5c497b1a02203e701b",63,644079,"id"
"84","Jikustik","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/cbd6623e251e29ff38140b68941e4d8f8bb73da9",47,602281,"id"
"85","Yeni Inka","['dangdut koplo', 'lagu jawa']","https://i.scdn.co/image/ab67616d0000b27364ce64f3c911f83e0333eecb",59,597981,"id"
"86","Killing Me Inside","['bandung indie', 'indonesian emo', 'indonesian pop punk', 'indonesian rock']","https://i.scdn.co/image/ab67616d0000b2738440172fb2bcb6a68fd297e4",48,575556,"id"
"87","Cokelat","['classic indonesian rock', 'indonesian alternative rock', 'indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eba498277004f6ee0317346878",47,560217,"id"
"88","Tangga","['indonesian pop']","https://i.scdn.co/image/ab67616d0000b273b0ce52706ab700bfaae3466b",50,547451,"id"
"89","Juicy Luicy","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebbcb780f4924009e8b2c1abe4",67,539425,"id"
"90","Marcell","['indonesian jazz', 'indonesian pop', 'jazz pop']","https://i.scdn.co/image/ab6761610000e5eb934acaabb4f153a9ccc84a2f",53,536642,"id"
"91","Nosstress","['indonesian folk', 'indonesian folk pop', 'indonesian indie']","https://i.scdn.co/image/ab6761610000e5eb55eeddf179ec42e95aa17ea1",55,527427,"id"
"92","TheOvertunes","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb3665093ae8871ef038edca54",56,521595,"id"
"93","Siti Badriah","['dangdut', 'dangdut koplo', 'dangdut remix']","https://i.scdn.co/image/ab67616d0000b273b880a4bdf516b576a669080d",42,489372,"id"
"94","Adera","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebf6cc0d7858be84ed4d387a77",52,483321,"id"
"95",".Feast","['indonesian indie']","https://i.scdn.co/image/ab6761610000e5eb36494b48ba193040b7de8d51",51,476232,"id"
"96","JKT48","['indonesian idol pop']","https://i.scdn.co/image/ab6761610000e5ebb048376ac8347c2f4aa2d731",63,468141,"id"
"97","Dhyo Haw","['indonesian reggae']","https://i.scdn.co/image/ab6761610000e5eb2ae26e1a98041d11ba4302cf",52,465804,"id"
"98","Ghea Indrawari","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb941c9c92827d81b1e5688bc6",56,441098,"id"
"99","raissa anggiani","['indonesian lo-fi pop', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb3caa88907c6be25fb118e510",67,440068,"id"
"100","GAC (Gamaliél Audrey Cantika)","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb9dbaebf0ffd53fc3493b6f8d",45,423189,"id"
"101","Adhitia Sofyan","['indonesian folk', 'indonesian folk pop', 'indonesian indie', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5eb4861d09e73a8e2d35decd8e9",50,389436,"id"
"102","Danilla","['indonesian folk', 'indonesian indie', 'indonesian jazz', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5eb1b171b8ed7f58835e36cff9a",48,388710,"id"
"103","AVIWKILA","['indonesian pop', 'javanese dangdut']","https://i.scdn.co/image/ab6761610000e5eb1678776aa5dae1c4609708d5",43,376483,"id"
"104","For Revenge","['bandung indie', 'indonesian emo', 'indonesian post-hardcore']","https://i.scdn.co/image/ab6761610000e5eb90bea89a7bd6082348d8b67e",67,374949,"id"
"105","Audy","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb57e03ee8e4a5acd8415f8cd3",62,370069,"id"
"106","Endah N Rhesa","['indonesian folk', 'indonesian folk pop', 'indonesian indie']","https://i.scdn.co/image/ab6761610000e5ebc6abfa2024116abd903c6d59",43,360145,"id"
"107","Pasto","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab67616d0000b273426d703b5ea2c33e7dbb5f57",47,347186,"id"
"108","Sal Priadi","['indonesian indie', 'malang indie']","https://i.scdn.co/image/ab6761610000e5ebf159c2b52eb7884793807a24",62,347017,"id"
"109","Barasuara","['indonesian indie', 'indonesian indie rock']","https://i.scdn.co/image/ab6761610000e5ebc07808e1899349d0e73da835",41,343351,"id"
"110","Andien","['indonesian jazz', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb16a73fb9eb891393b92144cc",49,340929,"id"
"111","Dere","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebd376a4e2962ebf9e78beb2b5",51,328474,"id"
"112","Raim Laode","[]","https://i.scdn.co/image/ab6761610000e5eb8f5fe38a2d25be089bf281e4",68,325407,"id"
"113","Pee Wee Gaskins","['indonesian emo', 'indonesian pop punk']","https://i.scdn.co/image/ab6761610000e5eb356ac421466db73942b93aa4",50,324537,"id"
"114","Rio Febrian","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb1fa026dd25c2988d5e93eec2",40,317355,"id"
"115","Ello","['indonesian jazz', 'indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab67616d0000b273048d6a77531f227a9b9cf324",47,304194,"id"
"116","Rocket Rockers","['bandung indie', 'indonesian indie', 'indonesian pop punk', 'indonesian rock']","https://i.scdn.co/image/ab6761610000e5ebca9e5ce327fbce2f8d40ab28",51,296170,"id"
"117","Petra Sihombing","['indonesian indie', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb59ad746b8a051699e0a34706",50,288963,"id"
"118","Tri Suaka","['indonesian folk pop']","https://i.scdn.co/image/ab6761610000e5eb72e2d466944ef47884571822",47,271840,"id"
"119","Eclat Story","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebe29ce34b19cfe289f80d69c1",45,270080,"id"
"120","Dengarkan Dia","['indonesian pop']","https://i.scdn.co/image/ab67616d0000b2730ee4ddce02192452aef9c585",39,264927,"id"
"121","Daun Jatuh","['indonesian folk pop']","https://i.scdn.co/image/ab6761610000e5eb9a20e3e12a6737724d9a4ea5",56,245838,"id"
"122","Tata Janeeta","['indonesian pop']","https://i.scdn.co/image/ab67616d0000b273b93bbf42e2f7a05f9ab04c5b",42,243724,"id"
"123","Misellia","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb249c300482b39f5281fac30d",51,240217,"id"
"124","Lyla","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eb893b11704e4e6cb66b51ecce",53,239574,"id"
"125","The Panasdalam Bank","[]","https://i.scdn.co/image/ab6761610000e5eb85071a85080047b0b5e90748",45,239048,"id"
