"","artist","genres","image","popularity","followers","language"
"126","Mario G klau","['indonesian pop', 'lagu timur']","https://i.scdn.co/image/ab6761610000e5eb5d1f225b4052a0542f8e2b7b",61,233873,"id"
"127","Mytha Lestari","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebfd5a62f5fe6ccf4fd89bd889",40,233027,"id"
"128","Sheryl Sheinafia","['indonesian pop', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5eb4f66bf547e0d9da77e7aaac6",42,229799,"id"
"129","Ecoutez","['indonesian indie', 'indonesian jazz', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebeccd4dad3f288445e62a5197",40,222018,"id"
"130","Anggi Marito","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb604493f4d58b7d152a2d5f79",70,216856,"id"
"131","Aruma","[]","https://i.scdn.co/image/ab6761610000e5ebaae124103dc588da02f4164b",63,215970,"id"
"132","Yovie Widianto","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb5146b8acb026405ca1bd3060",64,211634,"id"
"133","Gisel","['indonesian pop']","https://i.scdn.co/image/ab67616d0000b273f2555d12c45fedb3237c8647",54,210308,"id"
"134","Felix Irwan","['indonesian folk pop']","https://i.scdn.co/image/ab6761610000e5ebe60ce4d55a31d7fd12fb7867",58,205907,"id"
"135","Astrid","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb10ed2216387dd9c89fde6358",47,201410,"id"
"136","Dialog Senja","['indonesian folk', 'indonesian indie']","https://i.scdn.co/image/ab6761610000e5eb47f381a38e6579676e8debd0",47,200112,"id"
"137","Hal","['indonesian folk']","https://i.scdn.co/image/ab6761610000e5ebac26be2305c3707ee134b18f",62,195811,"id"
"138","Rahmania Astrini","['indonesian pop', 'indonesian r&b', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5eb3e5270acfc74f58f82a376c0",43,185272,"id"
"139","Awdella","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebf860c4a0a2665c0e008bd7d9",64,185029,"id"
"140","Arvian Dwi","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb174806aa4446e30ff3ef4533",48,181960,"id"
"141","AGNEZ MO","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb28ad200474fcb4cfac5552c7",38,171973,"id"
"142","Soegi Bornean","['indonesian folk', 'semarang indie']","https://i.scdn.co/image/ab6761610000e5eb88ccaeab7a9c0a3edfc6e3e8",62,167015,"id"
"143","Rif","['classic indonesian rock', 'indonesian pop rock', 'indonesian rock']","https://i.scdn.co/image/ab6761610000e5eb3b00d3961ad1dbd03e10d2af",39,163472,"id"
"144","Aldy Maldini","['indonesian pop']","https://i.scdn.co/image/ab67616d0000b27344717c5a23ee598d174c7c85",45,145789,"id"
"145","Mike Mohede","['indonesian jazz', 'indonesian pop', 'indonesian worship']","https://i.scdn.co/image/ab67616d0000b273d6a44f5816b95748758ee7e0",45,140485,"id"
"146","Sandhy Sondoro","['indonesian jazz', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebd861d0a4a2b1b040476476ff",40,140417,"id"
"147","Haico","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb28cbc30373d39642a6cbcc93",29,139552,"id"
"148","Potret","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eb9eeac346f1b92132cf86f98e",47,135853,"id"
"149","Young Lex","['indonesian emo rap', 'indonesian hip hop']","https://i.scdn.co/image/ab67616d0000b273266207d7d07f6bd45245ad0d",41,133156,"id"
"150","White Shoes & The Couples Company","['indonesian indie', 'indonesian indie pop', 'indonesian psychedelia']","https://i.scdn.co/image/ab6761610000e5eba8bb3bf6688c31b91705028d",38,132312,"id"
"151","Luthfi Aulia","['indonesian folk pop', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb3b46d6d8a0ac15bf83850aca",48,127020,"id"
"152","Farel Prayoga","['lagu jawa']","https://i.scdn.co/image/ab67616d0000b273fffb27f040d00faa498a33da",44,124637,"id"
"153","Dialog Dini Hari","['bali indie', 'indonesian indie']","https://i.scdn.co/image/ab6761610000e5eba7532e49076b5c3262419e59",34,120109,"id"
"154","Fatin","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eb24eeaea2ed3e69cc09813cc4",45,119813,"id"
"155","The Groove","['indonesian city pop', 'indonesian jazz', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb1fd65229c8c1411ff220352f",42,114916,"id"
"156","Meiska","[]","https://i.scdn.co/image/ab6761610000e5eb06b018246d9c2a50233c8645",55,113133,"id"
"157","Rey Mbayang","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebe209cfd52bc9f80bf0fd44d1",34,113034,"id"
"158","Raffa Affar","[]","https://i.scdn.co/image/ab6761610000e5ebfd462b1d0d40e4fb01bc9331",46,112224,"id"
"159","Ilir7","['dangdut', 'indonesian pop rock']","https://i.scdn.co/image/ab67616d0000b27369792c206ea5b5fa5cbb460e",42,111145,"id"
"160","Stevan Pasaribu","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb5d578eae834b840531ab122a",52,107267,"id"
"161","Paul Partohap","['indonesian lo-fi pop']","https://i.scdn.co/image/ab6761610000e5ebb99aedd3130bbc011565586b",59,99173,"id"
"162","Base Jam","['classic indonesian rock', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eb70a9a211cfe5fdcc6a023cee",40,94080,"id"
"163","Abdul & The Coffee Theory","['indonesian jazz', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb48c078b0248f5a5c9db1c20f",41,93728,"id"
"164","Cherrybelle","['indonesian idol pop', 'indonesian pop']","https://i.scdn.co/image/ab67616d0000b2733ad38432e5772bf80a9a2483",45,93382,"id"
"165","Lalahuta","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb08f4abc032b411e1c41b42f5",41,93036,"id"
"166","Aurelie Hermansyah","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebb845b84872bca0c79d550b4a",41,92680,"id"
"167","The Rain","['indonesian pop rock', 'indonesian rock']","https://i.scdn.co/image/ab6761610000e5ebe13ec5914393cda89339a328",54,83293,"id"
"168","Sisir Tanah","['indonesian folk', 'indonesian folk pop', 'indonesian indie']","https://i.scdn.co/image/ab6761610000e5ebe61fe0e3734ffbcad728ba3e",31,83192,"id"
"169","Soulvibe","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eba7069ac17ef612484cf00448",27,77711,"id"
"170","Chintya Gabriella","['indonesian folk pop', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebb809469becccea14b47b6669",35,72586,"id"
"171","Rinni Wulandari","['indonesian pop', 'indonesian r&b']","https://i.scdn.co/image/ab6761610000e5eb03904125e3fe4a778b35d62f",28,71707,"id"
"172","Naura Ayu","['musik anak-anak']","https://i.scdn.co/image/ab6761610000e5eb9d1b2aa04fab113893f437ba",46,71076,"id"
"173","Reza Artamevia","['indonesian city pop', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb8b789b23e1b1188030cd489b",51,70553,"id"
"174","Salshabilla","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb4db7007e22b3b73664ff807d",25,68617,"id"
"175","Atta Halilintar","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebcdfb3afba1158a6c908fa964",37,66505,"id"
"176","Utha Likumahuwa","['indonesian city pop', 'indonesian jazz']","https://i.scdn.co/image/ab6761610000e5eb7913cd91d0a2c28a705fd81b",47,64093,"id"
"177","Celine & Nadya","['indonesian folk pop', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebd674796005f871860ab3c2a5",43,58975,"id"
"178","CJR","['indonesian idol pop', 'indonesian pop']","https://i.scdn.co/image/ab67616d0000b2730bb20cab37087324970c6013",42,58769,"id"
"179","Reybong","[]","https://i.scdn.co/image/ab6761610000e5eb8692e9b5e04c24a236d5ab2e",18,56832,"id"
"180","Suara Kayu","[]","https://i.scdn.co/image/ab6761610000e5ebd5dcfab2cc9af991e706d063",58,54110,"id"
"181","Diskoria","['indonesian city pop', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb87a1c3c37cfc3e6ac3d5ce10",57,49549,"id"
"182","Trisouls","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebbce9d5c6fbdd0bd9ee15b1e1",30,48568,"id"
"183","Irwansyah","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/45d16fa319a70b2e2f20ec6a1ca378a3e401def4",51,46439,"id"
"184","Tyok Satrio","[]","https://i.scdn.co/image/ab6761610000e5eb26eba2f69e87cb030643197a",49,44694,"id"
"185","Elmatu","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb9d6b35d637db024880b10a74",37,44578,"id"
"186","Ekhsan","[]","https://i.scdn.co/image/ab67616d0000b2739b12db6e37fad3fd615b0818",42,44515,"id"
"187","Rizky Billar","[]","https://i.scdn.co/image/ab6761610000e5ebb9584e7b73f73b5f3be723d3",26,44002,"id"
"188","3 Composers","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb9cbaf01deba4b409cba1f982",37,42132,"id"
"189","Elegi","['indonesian folk']","https://i.scdn.co/image/ab6761610000e5eb215bd6a3024338c36e3dbf18",49,41617,"id"
"190","Ghifarr","[]","https://i.scdn.co/image/ab67616d0000b273f93a895a0b30549db25f7fec",16,41602,"id"
"191","Calvin Jeremy","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb6eec890d38a18d33752c5bd8",26,41575,"id"
"192","Element","['indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5ebda0ab983b936a06335497998",53,38886,"id"
"193","BADAI ROMANTIC PROJECT","['indonesian pop']","https://i.scdn.co/image/ab67616d0000b273e6fbbf0602fb6a5d9d387158",33,36914,"id"
"194","T.R.I.A.D","['indonesian pop rock', 'indonesian rock']","https://i.scdn.co/image/ab67616d0000b2737a86f766e37dbb7e56260a02",51,36118,"id"
"195","MarcoMarche","['indonesian folk', 'indonesian indie']","https://i.scdn.co/image/ab6761610000e5ebf990daff4c7ec99dde71db2a",24,35220,"id"
"196","Alexa","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eb6cd93f7784e0de6e39c86466",45,34940,"id"
"197","Okin","[]","https://i.scdn.co/image/ab6761610000e5eb58ea3b7251d3c8c39e2e11a6",33,33388,"id"
"198","Kemal Palevi","['indonesian hip hop']","https://i.scdn.co/image/ab6761610000e5eb918206618886a1a99d21e07d",21,33252,"id"
"199","Gloria Jessica","['indonesian pop', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5ebd645fb831e37e84bc99e46b3",37,33124,"id"
"200","Agatha Chelsea","['indonesian folk pop', 'indonesian pop', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5eb336c9c3a8ad43105b9e3576e",28,29817,"id"
"201","Dash Uciha","['indonesian pop rock']","https://i.scdn.co/image/ab67616d0000b273f3b57cbbabab69c611d0dece",33,25601,"id"
"202","Prinsa Mandagie","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebdbb7cd8050fe4bb2d1110371",50,25194,"id"
"203","Maria Simorangkir","['indonesian pop', 'indonesian r&b']","https://i.scdn.co/image/ab6761610000e5ebdc01f9f98d399637b75c55b2",36,24891,"id"
"204","Kezia","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb2a536c41f99817a1b689c107",40,24325,"id"
"205","Adrian Khalif","['indonesian hip hop', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebbea042d908ffd2a1bb8c624b",43,24142,"id"
"206","OKAAY","[]","https://i.scdn.co/image/ab6761610000e5ebe1f6bdeba150c4d2c6b03f53",45,22482,"id"
"207","Near","['lagu timur']","https://i.scdn.co/image/ab6761610000e5eb54828b8abfc8367ca8cb8749",47,22239,"id"
"208","Andre Hehanussa","['classic indo pop']","https://i.scdn.co/image/ab67616d0000b273eb91f801d57eec714f769348",42,21853,"id"
"209","Cassandra","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eb4827c7ddca7100e0ca08c633",41,21210,"id"
"210","Roy Ricardo","['indonesian hip hop']","https://i.scdn.co/image/ab6761610000e5ebbeaea66da2425cc2c3692ddb",20,20031,"id"
"211","Iqbaal Dhiafakhri","[]","",28,19901,"id"
"212","Musikimia","['indonesian rock']","https://i.scdn.co/image/ab6761610000e5ebc2b78c24a93cb93350e93ce0",25,19619,"id"
"213","Batas Senja","['indonesian folk', 'indonesian indie']","https://i.scdn.co/image/ab6761610000e5eb9fb93192d1bb5825adbd96a5",55,19578,"id"
"214","Andira","['indonesian jazz', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb40070745dce3f8aacbcb7f6f",25,19500,"id"
"215","Ade Govinda","[]","https://i.scdn.co/image/ab6761610000e5ebf1291236ae69e61d1e39985f",34,18079,"id"
"216","Angga Yunanda","[]","https://i.scdn.co/image/ab6761610000e5eb7be057ed6f2f8af42b9cd4c8",19,16858,"id"
"217","Paul & Gita","['indonesian r&b']","https://i.scdn.co/image/ab6761610000e5ebba284bfff478c5022e1e86e4",15,14425,"id"
"218","M.A.C","['hip hop timur', 'lagu timur']","https://i.scdn.co/image/ab6761610000e5eb7dabad4c3e6d5623743eadd5",38,14159,"id"
"219","Bernadya","[]","https://i.scdn.co/image/ab6761610000e5eb99cf630e05bbdaa9f191ea4f",56,13271,"id"
"220","Chandra Liow","['indonesian hip hop']","https://i.scdn.co/image/ab67616d0000b27386f7a543240454a174b7afef",19,12287,"id"
"221","Laleilmanino","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb6fbd5ab47d0455ca59306ab8",58,12053,"id"
"222","Aliando Syarief","[]","https://i.scdn.co/image/ab67616d0000b27308fa2684a3b1bd2adc67b84f",0,11918,"id"
"223","Karina Salim","[]","https://i.scdn.co/image/ab67616d0000b273786e7a7dff8fb768e809a872",18,10567,"id"
"224","Ben Sihombing","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb0c340df3c9b8f1b4dc851eb8",43,10178,"id"
"225","T-Five","['classic indo pop', 'indonesian pop rock', 'indonesian r&b']","https://i.scdn.co/image/ab6761610000e5ebcee3d77a1e6b74c22f087d9c",28,10108,"id"
"226","Armand Maulana","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb3ebe06863c4356700df5e628",25,9745,"id"
"227","Trio Lestari","['indonesian city pop', 'indonesian jazz']","https://i.scdn.co/image/ab6761610000e5eb56c1b2ab6bfd5f50b4992e37",22,9721,"id"
"228","Khifnu","['indonesian folk pop']","https://i.scdn.co/image/ab6761610000e5ebff238f8da8779f0cffc3399c",34,9658,"id"
"229","L.Y.O.N","['indonesian city pop']","https://i.scdn.co/image/ab6761610000e5eb29af8d1fdf537547ce14c923",29,9430,"id"
"230","Metha Zulia","['indonesian folk pop']","https://i.scdn.co/image/ab67616d0000b2733ce16f42a444274a9839c55d",28,9427,"id"
"231","Iwan Fals & NOAH","[]","",21,8791,"id"
"232","Radhini","['indonesian pop', 'indonesian r&b']","https://i.scdn.co/image/ab6761610000e5eb06b213d6a468d4632c987b67",13,8287,"id"
"233","Soundwave","['indonesian edm']","https://i.scdn.co/image/ab6761610000e5eb1f7899940dd60701837a09cb",30,8191,"id"
"234","Caitlin Halderman","[]","https://i.scdn.co/image/ab6761610000e5eb428f5491ff91f5fd3fb13ffc",35,8130,"id"
"235","Gery Gany","[]","https://i.scdn.co/image/ab6761610000e5ebf7082ac8a40ceaa9c1ce393e",53,7402,"id"
"236","Rivan","[]","https://i.scdn.co/image/ab6761610000e5ebac1149f2058d3c8eb1394fbc",16,7197,"id"
"237","David Bayu","[]","https://i.scdn.co/image/ab6761610000e5ebefee5b1654abecd054821c93",41,6411,"id"
"238","Nino","['indonesian folk pop']","https://i.scdn.co/image/ab6761610000e5eb23fce3d8a15bce60cdc0ecb9",29,6103,"id"
"239","Ddhear","['indonesian indie']","https://i.scdn.co/image/ab67616d0000b273c27d9c39151a8e908a32b64c",4,5950,"id"
"240","Ghaitsa Kenang","['indonesian folk pop', 'pontianak indie']","https://i.scdn.co/image/ab6761610000e5eb88b6f33f97e453f01b26df38",14,5920,"id"
"241","Dhika Fawaz","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebf668a7fbf97d87396a205e74",21,5113,"id"
"242","Delon","['indonesian worship']","https://i.scdn.co/image/ab67616d0000b27321bf4db1ed0c75ad73c1c969",44,4100,"id"
"243","Shae","['malaysian hip hop']","https://i.scdn.co/image/ab6761610000e5eb091823d5ec5239b888b777e4",32,3739,"id"
"244","Sandy Canester","['indonesian folk pop']","https://i.scdn.co/image/ab6761610000e5eb543641bed7193fe7a47a15b3",27,3736,"id"
"245","Adinda Shalahita","['indonesian jazz']","https://i.scdn.co/image/ab6761610000e5ebdf44c083cfeb42fc3669dd00",15,3698,"id"
"246","Classmate Journal","['indonesian indie']","https://i.scdn.co/image/ab6761610000e5eb816a8bc76bc466dd1b96ee0d",6,2841,"id"
"247","Alika","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb6eb766ebe47e398145763c1b",30,2074,"id"
"248","Anda Perdana","[]","https://i.scdn.co/image/ab6761610000e5ebf047d613af6e11d058ed0aad",42,1917,"id"
"249","Punxgoaran","[]","https://i.scdn.co/image/ab6761610000e5eb3654fee45fede4500edfd3a4",20,1887,"id"
"250","Vadi Akbar","[]","https://i.scdn.co/image/ab6761610000e5eb1ade6695a8a5d4e1978fb9aa",11,1680,"id"
"251","Ariel","[]","https://i.scdn.co/image/ab67616d0000b273feb11d4a5c7f73195f97d751",27,1635,"id"
"252","Andre Dinuth","['indonesian blues', 'indonesian jazz']","https://i.scdn.co/image/ab6761610000e5eb2d9eeaf3585bcc4d40322080",8,1606,"id"
"253","Idris Sardi","[]","https://i.scdn.co/image/ab67616d0000b2730128280c2b042610c956a5b3",19,1452,"id"
"254","Six Sounds Project (S.S.P.)","[]","https://i.scdn.co/image/ab67616d0000b273ea4d8baa8d6f19de67dd5c2f",9,1250,"id"
"255","Maruli Tampubolon","[]","https://i.scdn.co/image/ab6761610000e5eb0e861328d962b93c330cb0ee",19,1098,"id"
"256","Akhdiyat Duta Modjo","[]","",21,971,"id"
"257","DUO JEREMY","[]","https://i.scdn.co/image/ab6761610000e5eb1ff4eeb1f478c47fa0e34694",25,923,"id"
"258","Laidthis Nite","['indonesian indie pop']","https://i.scdn.co/image/ab6761610000e5ebb4825935011afc356200c081",7,722,"id"
"259","Nowela","[]","https://i.scdn.co/image/854e3526d3aa41beb3b7375d0b3b87341194fc5c",9,590,"id"
"260","Tuty Wibowo","[]","https://i.scdn.co/image/ab67616d0000b273f01de16827a45e96f33094fa",30,534,"id"
"261","Tiwu Rayie","[]","https://i.scdn.co/image/ab67616d0000b27371f1e8c1fc5b60653e80c2bb",3,288,"id"
"262","Chilla Kiana","[]","https://i.scdn.co/image/ab6761610000e5eb4c022a8e62cc84dd11fd739e",6,285,"id"
"263","Dody BJ","[]","https://i.scdn.co/image/ab67616d0000b27356e8793bc53d9d51f88aa20b",17,144,"id"
"264","The Groove","[]","https://i.scdn.co/image/ab6761610000e5ebe400907c2a1aa0d1e40962b9",18,143,"id"
"265","ODDS","[]","https://i.scdn.co/image/ab67616d0000b273f158681dd9b52ed97531d887",0,87,"id"
"266","id
66Dqcpogz4BwHrw6caEJVg    Sore
66Dqcpogz4BwHrw6caEJVg    Sore
Name: artist, dtype: object",NA,NA,NA,NA,"id"
